#VOG	FreqVir	FreqHost	Viral Quotient
VOG0001	0.0053763441	0.0078171978	0.4074981622
VOG0002	0.0040322581	0.0012026458	0.7702640111
VOG0005	0.0050403226	0.3377430347	0.0147041053
VOG0006	0.0030241935	0.0020044097	0.6013983204
VOG0007	0.0030241935	0.0050110243	0.3763673398
VOG0008	0.0016801075	0	1
VOG0009	0.002688172	0.0038083784	0.4137845235
VOG0010	0.0060483871	0.0044097013	0.5783453766
VOG0011	0.0016801075	0.0004008819	0.8073599379
VOG0012	0.0010080645	0.0006013229	0.6263653484
VOG0013	0.0084005376	0.0162357186	0.3409827192
VOG0014	0.0033602151	0.0030066146	0.5277689622
VOG0015	0.001344086	0.0014030868	0.4892615475
VOG0016	0.0144489247	0	1
VOG0017	0.0104166667	0	1
VOG0018	0.1626344086	0.3471637603	0.3190172475
VOG0019	0.0614919355	0.0038083784	0.941679018
VOG0020	0.1347446237	0.0138304269	0.9069128573
VOG0021	0.0658602151	0.0184405693	0.7812526965
VOG0024	0.0016801075	0	1
VOG0025	0.2836021505	0.9065945079	0.2382817567
VOG0026	0.2906586022	0.7668871517	0.2748425788
VOG0028	0.1538978495	0.4828622971	0.2416888844
VOG0029	0.0248655914	0.0020044097	0.9254034381
VOG0030	0.0672043011	0.013629986	0.8313836063
VOG0031	0.0571236559	0.0008017639	0.9861586867
VOG0034	0.0584677419	0.0008017639	0.9864725736
VOG0035	0.0309139785	0.006414111	0.828169319
VOG0037	0.0215053763	0	1
VOG0038	0.0487231183	0.0018039687	0.9642969972
VOG0040	0.0302419355	0.0008017639	0.9741730561
VOG0041	0.0487231183	0.0004008819	0.9918393873
VOG0043	0.033266129	0.000200441	0.9940107107
VOG0044	0.0514112903	0.0166366005	0.7555162943
VOG0045	0.0241935484	0.0190418922	0.559576775
VOG0046	0.0084005376	0.0044097013	0.6557674411
VOG0047	0.0033602151	0.0010022049	0.7702640111
VOG0048	0.0077284946	0.020444979	0.2743181313
VOG0049	0.0238575269	0.3459611145	0.0645114232
VOG0050	0.1098790323	0.4848667068	0.1847495914
VOG0051	0.0544354839	0.0328723191	0.6234893333
VOG0052	0.0201612903	0.8947684907	0.0220358882
VOG0054	0.0225134409	0.0010022049	0.9573813595
VOG0058	0.0994623656	0.8286229705	0.1071694183
VOG0061	0.0336021505	0	1
VOG0064	0.0329301075	0	1
VOG0065	0.033266129	0	1
VOG0066	0.0322580645	0	1
VOG0067	0.0463709677	0.0006013229	0.9871983482
VOG0068	0.0342741935	0	1
VOG0069	0.0315860215	0	1
VOG0079	0.0282258065	0	1
VOG0080	0.0349462366	0	1
VOG0083	0.1253360215	0.3485668471	0.2644761824
VOG0085	0.0836693548	0.7889356584	0.0958845681
VOG0086	0.0557795699	0	1
VOG0088	0.2116935484	0.9055923031	0.1894712513
VOG0090	0.0110887097	0.0004008819	0.9651091219
VOG0092	0.1041666667	0.7300060132	0.1248742247
VOG0094	0.0473790323	0.9055923031	0.0497171641
VOG0095	0.033266129	0.0078171978	0.8097233493
VOG0098	0.0359543011	0	1
VOG0100	0.0057123656	0.0036079375	0.6128948338
VOG0101	0.0060483871	0.0286630587	0.1742476279
VOG0102	0.0033602151	0.0024052916	0.5828134857
VOG0103	0.0063844086	0.0004008819	0.940918972
VOG0104	0.0282258065	0	1
VOG0105	0.0309139785	0	1
VOG0106	0.0221774194	0	1
